trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
982,False,"{'a': 0.003641122552691565, 'e': 5.173221749590039e-05}",25,10,25.98276362469326,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
983,False,"{'a': 0.003622916939928107, 'e': 5.121489532094139e-05}",20,10,18.954818068525412,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
984,False,"{'a': 0.0036048023552284667, 'e': 5.070274636773198e-05}",35,18,32.54134180293993,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
985,False,"{'a': 0.0035867783434523244, 'e': 5.019571890405466e-05}",25,19,13.369252146181847,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
986,False,"{'a': 0.003568844451735063, 'e': 4.969376171501411e-05}",30,20,18.607744150810333,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
987,False,"{'a': 0.0035510002294763874, 'e': 4.9196824097863966e-05}",30,19,21.23111125699656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
988,False,"{'a': 0.0035332452283290054, 'e': 4.870485585688533e-05}",25,9,31.410167744091282,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
989,False,"{'a': 0.0035155790021873605, 'e': 4.8217807298316476e-05}",20,6,27.451994882382234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
990,False,"{'a': 0.0034980011071764237, 'e': 4.7735629225333305e-05}",20,8,22.475798441834634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
991,False,"{'a': 0.0034805111016405414, 'e': 4.725827293307997e-05}",20,10,18.796501784406757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
992,False,"{'a': 0.003463108546132339, 'e': 4.6785690203749175e-05}",20,12,15.730271571610082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
993,False,"{'a': 0.003445793003401677, 'e': 4.631783330171168e-05}",30,23,11.865930951979333,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
994,False,"{'a': 0.0034285640383846685, 'e': 4.585465496869457e-05}",35,13,39.985868619023385,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
995,False,"{'a': 0.003411421218192745, 'e': 4.539610841900762e-05}",30,19,18.36828222407596,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
996,False,"{'a': 0.0033943641121017814, 'e': 4.494214733481754e-05}",25,11,27.473218773086327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
997,False,"{'a': 0.0033773922915412724, 'e': 4.449272586146937e-05}",20,16,6.785361635022648,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
998,False,"{'a': 0.003360505330083566, 'e': 4.404779860285467e-05}",20,14,11.471031447038765,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
999,False,"{'a': 0.003343702803433148, 'e': 4.360732061682612e-05}",25,10,22.09665955797257,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1000,False,"{'a': 0.0033269842894159828, 'e': 4.317124741065786e-05}",20,13,12.451511916600186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1001,False,"{'a': 0.0033103493679689025, 'e': 4.2739534936551285e-05}",25,5,41.62160627876225,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.003293797621129058, 'e': 4.2312139587185775e-05}",35,22,23.78790095928221,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1003,False,"{'a': 0.0032773286330234127, 'e': 4.188901819131391e-05}",20,6,28.91322447576207,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.003260941989858296, 'e': 4.1470128009400776e-05}",25,3,31.044398310285565,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.0032446372799090043, 'e': 4.105542672930676e-05}",25,14,21.26206648298984,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.003228414093509459, 'e': 4.06448724620137e-05}",25,14,22.393633993333466,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.003212272023041912, 'e': 4.023842373739356e-05}",25,0,41.74093650216285,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.0031962106629267024, 'e': 3.9836039500019625e-05}",30,21,18.440418930181462,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.003180229609612069, 'e': 3.943767910501943e-05}",25,0,39.48325605334091,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.0031643284615640085, 'e': 3.904330231396923e-05}",25,12,22.935408474773524,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.003148506819256188, 'e': 3.865286929082954e-05}",20,16,6.925407279080498,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.0031327642851599075, 'e': 3.826634059792125e-05}",20,0,29.756807846764648,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1013,False,"{'a': 0.003117100463734108, 'e': 3.788367719194203e-05}",20,11,16.043308371146075,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1014,False,"{'a': 0.0031015149614154374, 'e': 3.750484042002261e-05}",25,3,33.41220165622223,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1015,False,"{'a': 0.0030860073866083603, 'e': 3.712979201582238e-05}",20,9,20.977289759687796,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1016,False,"{'a': 0.0030705773496753183, 'e': 3.675849409566416e-05}",25,9,29.854049116555498,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
1017,False,"{'a': 0.0030552244629269416, 'e': 3.639090915470752e-05}",20,16,7.630369253172285,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1018,False,"{'a': 0.003039948340612307, 'e': 3.602700006316044e-05}",20,12,13.161119694821286,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1019,False,"{'a': 0.0030247485989092454, 'e': 3.566673006252884e-05}",25,7,28.75809098260962,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
1020,False,"{'a': 0.003009624855914699, 'e': 3.531006276190355e-05}",20,14,14.660125366973686,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1021,False,"{'a': 0.002994576731635126, 'e': 3.495696213428451e-05}",20,8,16.838714025215634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1022,False,"{'a': 0.00297960384797695, 'e': 3.460739251294167e-05}",20,0,25.903776489712357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1023,False,"{'a': 0.0029647058287370653, 'e': 3.426131858781225e-05}",30,18,23.836456741170007,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1024,False,"{'a': 0.00294988229959338, 'e': 3.3918705401934126e-05}",25,3,43.02499828956539,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1025,False,"{'a': 0.002935132888095413, 'e': 3.357951834791479e-05}",25,8,35.97436518547245,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1026,False,"{'a': 0.002920457223654936, 'e': 3.324372316443564e-05}",20,11,17.85968221792037,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1027,False,"{'a': 0.0029058549375366614, 'e': 3.291128593279128e-05}",20,10,21.487533378585994,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1028,False,"{'a': 0.002891325662848978, 'e': 3.258217307346337e-05}",25,0,40.2835726214183,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
1029,False,"{'a': 0.002876869034534733, 'e': 3.225635134272873e-05}",25,19,12.323381139106564,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1030,False,"{'a': 0.0028624846893620594, 'e': 3.1933787829301444e-05}",25,19,12.06438621832018,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1031,False,"{'a': 0.002848172265915249, 'e': 3.161444995100843e-05}",30,17,24.23210895154853,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1032,False,"{'a': 0.0028339314045856727, 'e': 3.129830545149835e-05}",20,0,32.203949923880266,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1033,False,"{'a': 0.0028197617475627444, 'e': 3.0985322396983366e-05}",20,9,19.792167916682292,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
1034,False,"{'a': 0.0028056629388249306, 'e': 3.067546917301353e-05}",20,11,18.87677325275489,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
1035,False,"{'a': 0.002791634624130806, 'e': 3.0368714481283393e-05}",20,5,22.434712108915107,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1036,False,"{'a': 0.002777676451010152, 'e': 3.0065027336470562e-05}",20,5,25.19744399697261,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1037,False,"{'a': 0.002763788068755101, 'e': 2.9764377063105855e-05}",25,20,9.004796582801259,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
1038,False,"{'a': 0.0027499691284113255, 'e': 2.9466733292474795e-05}",25,15,14.64623388715658,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.002736219282769269, 'e': 2.917206595955005e-05}",20,10,16.24819411575287,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1040,False,"{'a': 0.002722538186355423, 'e': 2.8880345299954548e-05}",25,0,43.03640562568512,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1041,False,"{'a': 0.0027089254954236457, 'e': 2.8591541846955e-05}",20,12,17.24137863152524,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1042,False,"{'a': 0.0026953808679465274, 'e': 2.830562642848545e-05}",35,15,33.7669334932571,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
1043,False,"{'a': 0.002681903963606795, 'e': 2.8022570164200596e-05}",25,12,26.688682468345586,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
